beta_neg beta_pos gamma_neg gamma_pos
0.25837779 6.3588576 0.00059478568 0.010815969
0.25851803 6.3937549 0.00059525408 0.010834573
0.25889667 6.4415894 0.00059532341 0.011029472
0.25903633 6.4778976 0.00059569005 0.011174024
0.25919205 6.5431292 0.00059606691 0.011195816
0.25942877 6.6117042 0.00059827951 0.011206438
0.25943466 6.6215848 0.00059862399 0.011224271
0.2594484 6.6233867 0.00059872734 0.011262584
0.26020591 6.65249 0.0005988807 0.011270755
0.26040555 6.8004297 0.00059909839 0.011314229
0.26116774 6.8087998 0.000599862 0.011435659
0.261347 6.8159134 0.00060027176 0.011502413
0.26160639 6.8192399 0.00060140139 0.01155229
0.2619364 6.8481904 0.00060172046 0.011556518
0.26238896 6.8553635 0.00060291685 0.011577104
0.26271265 6.8804326 0.00060307496 0.011592523
0.2627637 6.9122892 0.00060312802 0.011654005
0.26296081 6.9435057 0.00060497581 0.01169192
0.26311739 6.9667381 0.00060563413 0.011720364
0.26342023 6.974613 0.00060622328 0.01172357
0.26355831 6.9787969 0.00060665274 0.011727666
0.26400341 6.9788607 0.00060669256 0.011766078
0.26419458 6.9845048 0.00060679147 0.011788506
0.26428172 7.0045238 0.00060831162 0.011830206
0.2643021 7.0079014 0.00060841997 0.011893356
0.2646535 7.1176149 0.00060989844 0.011939605
0.26481534 7.1395642 0.00061056502 0.011953685
0.26482374 7.1706231 0.00061078213 0.011993279
0.26483218 7.2012568 0.00061119824 0.012154565
0.26514675 7.2074901 0.00061182046 0.012351611
0.26527387 7.2566867 0.00061230895 0.012624687
0.26538597 7.2598857 0.00061251715 0.012650832
0.26558407 7.2677842 0.00061338187 0.012676001
0.26563817 7.2754442 0.00061342722 0.01277582
0.26565566 7.2759157 0.00061344942 0.012817674
0.2658325 7.2814029 0.00061352206 0.012847604
0.26593246 7.2819345 0.00061357086 0.012851467
0.26602617 7.2869735 0.00061401173 0.012875384
0.26642008 7.3296898 0.00061413427 0.01291634
0.26694706 7.3930972 0.0006155553 0.012974547
0.26711946 7.3973311 0.0006169486 0.012996384
0.26731883 7.4307224 0.00061698689 0.013123974
0.26750133 7.4395624 0.00061730985 0.013132093
0.26762971 7.4562094 0.0006177048 0.013132459
0.26781585 7.5717836 0.0006181893 0.013171942
0.26791443 7.5781338 0.00061877873 0.013270938
0.26828225 7.5871727 0.00061889992 0.013272399
0.26897019 7.6132948 0.00061947342 0.013309994
0.26908561 7.6165002 0.00061990212 0.01344087
0.26923757 7.6260897 0.0006228511 0.013455602
0.2693052 7.62891 0.00062345804 0.013458555
0.26984325 7.6531046 0.00062390717 0.013495224
0.26997735 7.673332 0.00062412572 0.013541617
0.27054491 7.6753639 0.00062466416 0.013542619
0.27057259 7.7403866 0.00062546702 0.013544857
0.27070579 7.7439795 0.00062670892 0.013552514
0.27073813 7.7466634 0.00062671208 0.013556901
0.27126319 7.7676039 0.00062693889 0.013609785
0.27146793 7.7701256 0.00062706176 0.01361028
0.27164226 7.857771 0.00062737816 0.0136227
0.27168365 7.8945812 0.00062769007 0.013632169
0.27171581 7.9073979 0.00062837105 0.013700452
0.27198662 7.9341936 0.00062851521 0.013718929
0.2720565 7.9356093 0.00062865074 0.013736627
0.27249881 7.9552089 0.00062865762 0.013782102
0.27271332 8.0230067 0.00062937932 0.01388485
0.27297558 8.0575798 0.0006293814 0.013907034
0.27362919 8.0898728 0.00063102506 0.013984412
0.27420953 8.1094884 0.00063127064 0.014094685
0.27451787 8.1157286 0.00063151311 0.014110303
0.27537322 8.1260849 0.00063159034 0.014120087
0.27568396 8.1328376 0.00063339943 0.014131163
0.27580273 8.1626493 0.00063418147 0.014158895
0.27614725 8.1648056 0.00063425083 0.014188247
0.27645451 8.1751032 0.00063495548 0.014214933
0.27647363 8.1818643 0.00063670025 0.014276371
0.27676084 8.1885408 0.00063785185 0.014317078
0.27691858 8.1923001 0.00063871354 0.014343841
0.27700293 8.194275 0.00063906625 0.014347558
0.2770267 8.2037385 0.00063923353 0.014367824
0.27715989 8.2079787 0.00063943527 0.014464027
0.27765273 8.2203428 0.00063966248 0.014477059
0.27794394 8.2232545 0.00063971588 0.014499848
0.27810622 8.273457 0.00064019846 0.014517169
0.27819165 8.28209 0.00064144303 0.014532289
0.27881895 8.2874515 0.00064144603 0.014632283
0.27896923 8.2923748 0.00064237908 0.014705109
0.27928111 8.3057393 0.00064265406 0.014728421
0.27934227 8.3309922 0.00064301325 0.014795818
0.27951975 8.3318369 0.00064355509 0.0148151
0.27956413 8.3376438 0.00064433077 0.014825348
0.27962644 8.3504922 0.00064474182 0.014840565
0.27972492 8.3614297 0.00064477978 0.014878626
0.27981933 8.363039 0.00064625844 0.014951409
0.27999077 8.3927839 0.00064643383 0.015076211
0.28014999 8.42065 0.00064674249 0.01508871
0.28019827 8.4274575 0.00064747135 0.015147333
0.28058518 8.4662687 0.00064848145 0.015162401
0.28084479 8.4724023 0.00064859064 0.015195212
0.28097015 8.5040544 0.00064933575 0.01519529
0.28134871 8.5127039 0.00064990209 0.015200373
0.28160568 8.5127852 0.0006499577 0.015224628
0.28178563 8.5191798 0.00065153307 0.015229419
0.28183955 8.5214053 0.00065297631 0.015270874
0.28191006 8.5384453 0.00065380921 0.015271055
0.28219884 8.5465455 0.00065393645 0.015292975
0.28291949 8.5524941 0.00065506214 0.015294306
0.2833539 8.5721037 0.00065511448 0.015328667
0.28343086 8.5784882 0.00065526682 0.015354582
