canopy duty lolp
0.0917949 0.926923 0
0.0917949 0.951282 0
0.0917949 0.975641 0
0.0917949 1 0

0.0992308 0.05 0
0.0992308 0.074359 0
0.0992308 0.0987179 0
0.0992308 0.123077 0
0.0992308 0.147436 0
0.0992308 0.171795 0
0.0992308 0.196154 0
0.0992308 0.220513 0
0.0992308 0.244872 0
0.0992308 0.269231 0
0.0992308 0.29359 0
0.0992308 0.317949 0
0.0992308 0.342308 0
0.0992308 0.366667 0
0.0992308 0.391026 0
0.0992308 0.415385 0
0.0992308 0.439744 0
0.0992308 0.464103 0
0.0992308 0.488462 0
0.0992308 0.512821 0
0.0992308 0.537179 0
0.0992308 0.561538 0
0.0992308 0.585897 0
0.0992308 0.610256 0
0.0992308 0.634615 0
0.0992308 0.658974 0
0.0992308 0.683333 0
0.0992308 0.707692 0
0.0992308 0.732051 0
0.0992308 0.75641 0
0.0992308 0.780769 0
0.0992308 0.805128 0
0.0992308 0.829487 0
0.0992308 0.853846 0
0.0992308 0.878205 0
0.0992308 0.902564 0
0.0992308 0.926923 0
0.0992308 0.951282 0
0.0992308 0.975641 0
0.0992308 1 0

0.106667 0.05 0
0.106667 0.074359 0
0.106667 0.0987179 0
0.106667 0.123077 0
0.106667 0.147436 0
0.106667 0.171795 0
0.106667 0.196154 0
0.106667 0.220513 0
0.106667 0.244872 0
0.106667 0.269231 0
0.106667 0.29359 0
0.106667 0.317949 0
0.106667 0.342308 0
0.106667 0.366667 0
0.106667 0.391026 0
0.106667 0.415385 0
0.106667 0.439744 0
0.106667 0.464103 0
0.106667 0.488462 0
0.106667 0.512821 0
0.106667 0.537179 0
0.106667 0.561538 0
0.106667 0.585897 0
0.106667 0.610256 0
0.106667 0.634615 0
0.106667 0.658974 0
0.106667 0.683333 0
0.106667 0.707692 0
0.106667 0.732051 0
0.106667 0.75641 0
0.106667 0.780769 0
0.106667 0.805128 0
0.106667 0.829487 0
0.106667 0.853846 0
0.106667 0.878205 0
0.106667 0.902564 0
0.106667 0.926923 0
0.106667 0.951282 0
0.106667 0.975641 0
0.106667 1 0

0.114103 0.05 0
0.114103 0.074359 0
0.114103 0.0987179 0
0.114103 0.123077 0
0.114103 0.147436 0
0.114103 0.171795 0
0.114103 0.196154 0
0.114103 0.220513 0
0.114103 0.244872 0
0.114103 0.269231 0
0.114103 0.29359 0
0.114103 0.317949 0
0.114103 0.342308 0
0.114103 0.366667 0
